"GEOID","White.Percent","Minority.Percent","Black.Percent","American.Indian.Percent","Asian.Percent","Pacific.Islander.Percent","Hispanic.Percent","Poverty.Rate","Household.Income","HHI.Factor"
"51041100510",65.2677651905252,34.7322348094748,21.3182286302781,0,2.05973223480947,0,8.9340885684861,3.6,73214,"$50,000-74,999"
"51041100600",5.56091288974606,94.4390871102539,87.9781420765027,0,0.353584056573449,0,5.07875281260045,14.7,46563,"$25,000-49,999"
"51041100701",43.2950878451058,56.7049121548942,49.3546073861599,0.0358551452133381,0,0.233058443886698,5.05557547508067,13.9,57153,"$50,000-74,999"
"51041100702",55.1117451260105,44.8882548739895,36.7570137898241,0,0.380408939610081,0,4.56490727532097,11.4,59167,"$50,000-74,999"
"51041100703",79.4724036368293,20.5275963631707,16.1096171084646,0,0.0512229478806505,0,2.70201050070432,11.1,81166,"$75,000-99,999"
"51041100804",43.546164446486,56.453835553514,40.1010564997703,1.24023886081764,10.0367478180983,0,2.20486908589802,26.3,63378,"$50,000-74,999"
"51041100805",29.2346753717809,70.7653246282191,47.0438882843671,0,5.71273122959739,0,16.974972796518,9,59732,"$50,000-74,999"
"51041100806",20.5522345573584,79.4477654426416,52.2060916595502,0,1.3378878451466,0.31312268716197,19.8405920865357,11,45915,"$25,000-49,999"
"51041100807",49.7689768976898,50.2310231023102,27.7227722772277,0,1.45214521452145,0,18.7458745874587,3,58750,"$50,000-74,999"
"51041100812",62.3270545090848,37.6729454909152,18.336389398233,0.316719453242207,2.78379729954993,0,15.4359059843307,24.2,67536,"$50,000-74,999"
"51041100814",46.4971458225221,53.5028541774779,25.5059678256357,0.285417747794499,0.570835495588998,0,18.7078360145304,10.3,58254,"$50,000-74,999"
"51041100815",60.566882148185,39.433117851815,26.3301839880656,0,6.46444554947787,0,3.18249627051218,17.7,72147,"$50,000-74,999"
"51041100816",67.6690125826402,32.3309874173598,20.9639582000427,0.170612070804009,1.8340797611431,0,6.76050330560887,4.8,66208,"$50,000-74,999"
"51041100817",55.5555555555556,44.4444444444444,27.7912294861447,0.134517083669626,1.12994350282486,0,9.4969061070756,7.4,47685,"$25,000-49,999"
"51041100818",35.5095541401274,64.4904458598726,48.8588110403397,0,4.03397027600849,0,7.19214437367304,10,80484,"$75,000-99,999"
"51041100819",21.6137888956681,78.3862111043319,56.5131177547285,0,1.81513117754728,0,17.1140939597315,19.7,51765,"$50,000-74,999"
"51041100820",27.4814096346589,72.5185903653411,52.4086647268025,0.258648561267378,5.07597801487229,0,11.4775299062399,20.5,57798,"$50,000-74,999"
"51041100821",83.5657584209397,16.4342415790603,11.9073160266037,0,1.30873203175284,0.0429092469427162,1.93091611242223,4.1,101094,"$100,000+"
"51041100822",79.2019347037485,20.7980652962515,17.0697299476018,0,0.725513905683192,0,0.987505038291012,4,105370,"$100,000+"
"51041100823",65.9654127295418,34.0345872704582,30.5223747548583,0,0.802282046710644,0,2.29987520057051,10.9,84630,"$75,000-99,999"
"51041100902",93.1182253592135,6.88177464078649,3.07537181749433,1.15956642298966,0.378119485757499,0,1.2856062515755,7.4,95703,"$75,000-99,999"
"51041100907",68.0330816253146,31.9669183746854,6.7601582164689,0,0.898957209636821,0,23.0852211434736,15.7,50972,"$50,000-74,999"
"51041100910",67.2895500725689,32.7104499274311,22.0972423802612,0.145137880986938,1.17924528301887,0,6.16835994194485,9.2,65607,"$50,000-74,999"
"51041100912",81.3407152476433,18.6592847523567,11.3571749214425,0.149633398174473,2.39413437079156,0,1.79560077809367,1.7,90041,"$75,000-99,999"
"51041100915",71.8458826492067,28.1541173507932,12.7171996978091,0,9.24200453286326,0,3.09745656006044,3.5,59006,"$50,000-74,999"
"51041100919",63.8822369347795,36.1177630652205,15.6360050711368,0.183124383716016,7.83208902662347,0,8.22651077616566,6.7,69261,"$50,000-74,999"
"51041100920",71.4890016920474,28.5109983079526,10.575296108291,0,2.7072758037225,0,10.0676818950931,3,54485,"$50,000-74,999"
"51041100921",65.7219335537711,34.2780664462289,15.4778774996064,0,7.36891828058573,0,9.88820658164069,7.7,67226,"$50,000-74,999"
"51041100922",52.303317535545,47.696682464455,25.1184834123223,0.341232227488152,6.33175355450237,0,13.5545023696682,6.8,69800,"$50,000-74,999"
"51041100923",66.0480809784901,33.9519190215099,31.5478700970055,0,0,0,0.885702235343737,17.6,66250,"$50,000-74,999"
"51041100924",88.4399308556612,11.5600691443388,3.28435609334486,0,5.53154710458081,0,1.53414001728608,1.4,112045,"$100,000+"
"51041100926",82.1574803149606,17.8425196850394,5.43307086614173,0,7.71653543307087,0,3.62204724409449,3.5,127054,"$100,000+"
"51041100927",77.1202179026866,22.8797820973134,5.29899715240807,0,8.24563575584994,0,4.28376872601213,2.1,94575,"$75,000-99,999"
"51041100928",73.9358996099712,26.0641003900288,10.1407495336612,0,7.98711209089367,0,4.52772596235374,9,61552,"$50,000-74,999"
"51041100929",76.5059336037254,23.4940663962746,8.98302538681088,0.555805918581944,7.28556406789845,0,3.5751840168244,2.9,98250,"$75,000-99,999"
"51041100930",84.6634901727219,15.3365098272781,9.85705777248362,0,1.84633710541989,0,3.394877903514,0,110087,"$100,000+"
"51041100931",84.3508771929825,15.6491228070175,9.57894736842105,0,2.63157894736842,0,1.47368421052632,2.8,94916,"$75,000-99,999"
"51041100932",74.0740740740741,25.9259259259259,11.3630637440161,0.17636684303351,6.32401108591585,0,2.54472159234064,2.8,94265,"$75,000-99,999"
"51041100933",61.0156548300878,38.9843451699122,27.1477663230241,0.840015273004964,0.649102710958381,0,7.67468499427262,3.6,52098,"$50,000-74,999"
"51041100934",53.888295029396,46.111704970604,34.246392303581,1.12239444147515,4.98396579369321,0,4.0753607696419,5.5,61332,"$50,000-74,999"
"51041100935",89.7867859963148,10.2132140036852,2.31639905238221,0,6.23848381152935,0,0.236904448539089,3.1,130278,"$100,000+"
"51041100936",91.6117119493537,8.38828805064626,4.27327881825376,0,1.74096544447375,0,1.05513057240834,5.2,137468,"$100,000+"
"51041101003",85.0310856049737,14.9689143950263,6.23306233062331,0.191296030607365,3.06073648971784,0,4.01721664275466,0.7,129803,"$100,000+"
"51041101004",83.064342586615,16.935657413385,9.01656982999785,1.26963632451044,1.59242522057241,0,2.38863783085862,1.5,92188,"$75,000-99,999"
"51041101007",82.683576013778,17.316423986222,7.29607014247691,0,2.03538437451073,0.156568028808517,3.19398778769375,0,106816,"$100,000+"
"51041101008",83.5854922279793,16.4145077720207,8.55958549222798,0,4.82901554404145,0,0.725388601036269,0.8,128393,"$100,000+"
"51041101009",75.3040376195881,24.6959623804119,11.399383817091,0,7.26447219069239,0,4.73487919571915,2.9,100570,"$100,000+"
"51041101010",83.0516960821129,16.9483039178871,9.20015020653398,0,1.43947928401552,0,3.75516334960571,6.3,100946,"$100,000+"
