"GMDATE","GMTIME","GAMECODE","HOME_TEAMCODE","HOME_TEAM","FINAL1","FINAL2","AWAY_TEAMCODE","AWAY_TEAM","FIELD","DIVISION","LEAGUE"
"09/24/2017","04:00 PM","2904","OD00135G","PWSI Courage Girls 2000 Pride",1,6,"OD97140G","SCSL Shenandoah Fire","Tyrell Field Complex Tyrell #1","HS Division G1","ODSL"
"09/24/2017","04:00 PM","515","OD0841G","PWSI Courage Girls 2008 Pride",13,1,"OD0835G","ALEX 08 Girls Blue","Howison Homestead Park Howison #2B","U10 Division G1","ODSL"
"09/30/2017","09:00 AM","2917","OD00135G","PWSI Courage Girls 2000 Pride",0,7,"OD99135G","VIST Renegades","Tyrell Field Complex Tyrell #2","HS Division G1","ODSL"
"09/30/2017","11:00 AM","2263","OD04105G","PWSI Courage Girls 2004 Pride",2,0,"OD04103G","LOUD 04G Silver","Tyrell Field Complex Tyrell #2","U14 Division G1","ODSL"
"10/01/2017","12:00 PM","1669","OD0594B","PWSI Courage Boys 2005 Classic",1,10,"OD0590B","MSC Lions 05","Tyrell Field Complex Tyrell #1","U13 Division B1","ODSL"
"10/01/2017","12:00 PM","2414","OD02146G","PWSI Courage Girls 2002 Pride",9,0,"OD03128G","ABGC United 03G","Tyrell Field Complex Tyrell #3","U15-16 Division G1","ODSL"
"10/01/2017","02:00 PM","964","OD0738G","PWSI Courage Girls 2007 Pride",5,1,"OD0717G","WIN United 2007G Blue","Howison Homestead Park Howison #2B","U11 Division G2","ODSL"
"10/01/2017","03:30 PM","410","OD0830B","PWSI Courage Boys 2008 Pride",9,0,"OD0831B","SCSL Gladiators","Howison Homestead Park Howison #2B","U10 Division B3","ODSL"
"10/01/2017","05:00 PM","520","OD0841G","PWSI Courage Girls 2008 Pride",3,2,"OD0814G","VSA 08G Jr Academy Pugh","Howison Homestead Park Howison #2B","U10 Division G1","ODSL"
"10/14/2017","09:00 AM","1689","OD0594B","PWSI Courage Boys 2005 Classic",5,0,"OD0466B","WYSC Mustangs 05B","Tyrell Field Complex Tyrell #2","U13 Division B1","ODSL"
"10/14/2017","10:30 AM","2194","OD04122B","PWSI Courage Boys 2004 Pride",2,2,"OD04118B","TAFC Team America 2004 Revolution","Tyrell Field Complex Tyrell #2","U14 Division B2","ODSL"
"10/14/2017","12:00 PM","2268","OD04105G","PWSI Courage Girls 2004 Pride",4,1,"OD0331G","VYS Fire white","Tyrell Field Complex Tyrell #2","U14 Division G1","ODSL"
"10/14/2017","01:30 PM","2322","OD04123G","PWSI Courage Girls 2004 Classic",7,0,"OD04120G","EPIC Blue","Tyrell Field Complex Tyrell #2","U14 Division G2","ODSL"
"10/15/2017","12:00 PM","1674","OD0594B","PWSI Courage Boys 2005 Classic",4,1,"OD0400B","ALEX 05 Boys Black","Tyrell Field Complex Tyrell #1","U13 Division B1","ODSL"
"10/15/2017","01:30 PM","2173","OD04117B","PWSI Courage Boys 2004 Classic",4,0,"OD04122B","PWSI Courage Boys 2004 Pride","Tyrell Field Complex Tyrell #1","U14 Division B2","ODSL"
"10/15/2017","02:00 PM","968","OD0738G","PWSI Courage Girls 2007 Pride",7,1,"OD0736G","CULP CSC Comets 07G","Howison Homestead Park Howison #2B","U11 Division G2","ODSL"
