"Home","Away","Field"
"CUSC Blues U12 Boys TASL","Beach FC Sting U12 Boys TASL","Centerville Complex Field 9"
"Beach FC Ghent Racers U12 Boys TASL","Beach FC Sting U12 Boys TASL","Lake Taylor Soccer Complex Field 10"
"Beach FC Sting U12 Boys TASL","Beach FC Strikers U12 Boys TASL","Hampton Roads Soccer Complex Field 13C"
"Beach FC Sting U12 Boys TASL","Beach FC Coastal Kickers U12 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"CUSC Blues U12 Boys TASL","Beach FC Coastal Kickers U12 Boys TASL","Centerville Complex Field 9"
"CSL Orangemen U12 Boys TASL","Beach FC Dragons U12 Boys TASL","Churchland Park Field  1"
"Va Legacy WMBG Titans U12 Boys TASL","Beach FC Raptors U12 Boys TASL","Warhill Soccer Complex Field 4"
"Va Legacy PEN Titans U12 Boys TASL","Beach FC Dragons U12 Boys TASL","Churchland Park Field  1"
"Beach FC Raptors U12 Boys TASL","Beach FC Strikers U12 Boys TASL","Hampton Roads Soccer Complex Field 13C"
"CSL Orangemen U12 Boys TASL","Beach FC Raptors U12 Boys TASL","Churchland Park Field  1"
"Va Legacy WMBG Titans U12 Boys TASL","Va Legacy PEN Titans U12 Boys TASL","Warhill Soccer Complex Field 4"
"Beach FC Dragons U12 Boys TASL","Beach FC Raptors U12 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"Va Legacy PEN Titans U12 Boys TASL","CSL Orangemen U12 Boys TASL","Warhill Soccer Complex Field 4"
"Beach FC Raptors U12 Boys TASL","Va Legacy PEN Titans U12 Boys TASL","Hampton Roads Soccer Complex Field 13C"
"Va Legacy WMBG Titans U12 Boys TASL","Beach FC Dragons U12 Boys TASL","Warhill Soccer Complex Field 4"
"Beach FC Raptors U12 Boys TASL","Va Legacy WMBG Titans U12 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"Va Legacy PEN Titans U12 Boys TASL","Beach FC Bull Sharks U12 Boys TASL","Warhill Soccer Complex Field 4"
"Beach FC Raptors U12 Boys TASL","Beach FC Bull Sharks U12 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"Va Legacy WMBG Titans U12 Boys TASL","CSL Orangemen U12 Boys TASL","Hampton Roads Soccer Complex Field 13C"
"Beach FC Bull Sharks U12 Boys TASL","Beach FC Dragons U12 Boys TASL","Hampton Roads Soccer Complex Field 13A"
"Beach FC Raptors U12 Boys TASL","CSL Orangemen U12 Boys TASL","Hampton Roads Soccer Complex Field 13A"
"Va Legacy PEN Titans U12 Boys TASL","Beach FC Strikers U12 Boys TASL","Warhill Soccer Complex Field 4"
"CSL Orangemen U12 Boys TASL","Va Legacy WMBG Titans U12 Boys TASL","Churchland Park Field  1"
"Beach FC Dragons U12 Boys TASL","Beach FC Bull Sharks U12 Boys TASL","Hampton Roads Soccer Complex Field 13C"
"Beach FC Bull Sharks U12 Boys TASL","Va Legacy WMBG Titans U12 Boys TASL","Lake Taylor Soccer Complex Field 10"
